pclass,survived,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,homedest,case_id
2,0,male,57,0,0,219533,12.35,,Q,,,"Glasgow / Bangor, ME",601
2,1,male,34,0,0,248698,13,D56,S,13,,London,602
2,1,female,36,1,0,226875,26,,S,11,,"Warwick, England",603
3,0,male,37,2,0,3101276,7.925,,S,,98,"Ruotsinphytaa, Finland New York, NY",604
3,0,male,22.5,0,0,2698,7.225,,C,,9,,605
3,0,male,20,0,0,6563,9.225,,S,,89,"Oslo, Norway Cameron, WI",606
3,0,male,25,0,0,SOTON/O.Q. 3101312,7.05,,S,,79,Argentina,607
3,0,male,30,0,0,C 7076,7.25,,S,,72,"Asarum, Sweden Brooklyn, NY",608
3,0,male,34.5,0,0,330911,7.8292,,Q,,70,,609
3,0,female,47,1,0,A/5. 3337,14.5,,S,,7,,610
3,0,male,21,0,0,350029,7.8542,,S,,69,,611
3,0,male,40.5,0,0,367232,7.75,,Q,,68,"Aughnacliff, Co Longford, Ireland New York, NY",612
3,0,male,14.5,8,2,CA. 2343,69.55,,S,,67,,613
3,0,female,30.5,0,0,364850,7.75,,Q,,61,,614
3,0,male,18.5,0,0,2682,7.2292,,C,,58,,615
3,0,female,19,1,0,376566,16.1,,S,,53,,616
3,0,male,33,0,0,349241,7.8958,,C,,51,"Austria Niagara Falls, NY",617
3,0,male,30.5,0,0,364499,8.05,,S,,50,,618
3,0,male,22,0,0,14973,8.05,,S,,47,,619
3,0,male,2,3,1,349909,21.075,,S,,4,,620
3,0,male,33,0,0,347062,7.775,,S,,37,,621
3,0,female,14.5,1,0,2665,14.4542,,C,,328,,622
3,0,female,39,0,5,382652,29.125,,Q,,327,,623
3,0,male,38.5,0,0,SOTON/O.Q. 3101262,7.25,,S,,32,,624
3,0,male,18,1,0,3101267,6.4958,,S,,314,,625
3,0,male,45.5,0,0,2628,7.225,,C,,312,,626
3,0,male,25,0,0,348123,7.65,F G73,S,,309,,627
3,0,male,28,0,0,349243,7.8958,,S,,306,,628
3,0,male,26.5,0,0,2656,7.225,,C,,304,,629
3,0,female,18.5,0,0,329944,7.2833,,Q,,299,"Co Cork, Ireland Roxbury, MA",630
3,0,male,32.5,0,0,345775,9.5,,S,,298,,631
3,0,male,33,0,0,7540,8.6542,,S,,285,,632
3,0,male,24.5,0,0,342826,8.05,,S,,284,,633
3,0,male,60.5,0,0,3701,.,,S,,261,,634
3,0,male,32,0,0,C 4001,22.525,,S,,260,"Bergen, Norway",635
3,0,male,18,0,0,2223,8.3,,S,,259,"Windsor, England New York, NY",636
3,0,male,40.5,0,2,A/5. 851,14.5,,S,,255,,637
3,0,female,29,0,4,349909,21.075,,S,,206,,638
3,0,male,55.5,0,0,A.5. 11206,8.05,,S,,201,,639
3,0,male,34,1,1,347080,14.4,,S,,197,"Stanton, IA",640
3,0,male,34.5,0,0,2683,6.4375,,C,,196,,641
3,0,male,16,1,1,C.A. 2673,20.25,,S,,190,"East Providence, RI",642
3,0,male,23.5,0,0,2693,7.2292,,C,,188,,643
3,0,male,40.5,0,0,C.A. 6212,15.1,,S,,187,,644
3,0,male,28.5,0,0,2697,7.2292,,C,,181,,645
3,0,male,34,0,0,363294,8.05,,S,,176,,646
3,0,male,28,0,0,C 4001,22.525,,S,,173,,647
3,0,male,70.5,0,0,370369,7.75,,Q,,171,,648
3,0,male,22,0,0,350052,7.7958,,S,,156,,649
